"key_ID","year","comment_by_ID","comment_by","comment_by_code","count_comments"
692,2014,15,"Sweden","SE",2
693,2014,16,"Cyprus","CY",0
694,2014,17,"Czech Republic","CZ",0
695,2014,18,"Estonia","EE",1
696,2014,19,"Hungary","HU",1
697,2014,20,"Latvia","LV",0
698,2014,21,"Lithuania","LT",0
699,2014,22,"Malta","MT",4
700,2014,23,"Poland","PL",13
701,2014,24,"Slovakia","SK",2
702,2014,25,"Slovenia","SI",4
703,2014,26,"Bulgaria","BG",1
704,2014,27,"Romania","RO",2
705,2014,28,"Croatia","HR",2
706,2014,29,"Iceland","IS",0
707,2014,30,"Liechtenstein","LI",0
708,2014,31,"Norway","NO",0
709,2014,32,"Switzerland","CH",0
710,2014,33,"Turkey","TR",0
711,2014,34,"Commission","EC",194
712,2014,35,"European Free Trade Association","EFTA",0
713,2015,1,"Belgium","BE",1
714,2015,2,"France","FR",10
715,2015,3,"Germany","DE",21
716,2015,4,"Italy","IT",11
717,2015,5,"Luxembourg","LU",0
718,2015,6,"Netherlands","NL",0
719,2015,7,"Denmark","DK",4
720,2015,8,"Ireland","IE",2
721,2015,9,"United Kingdom","UK",8
722,2015,10,"Greece","EL",0
723,2015,11,"Portugal","PT",0
724,2015,12,"Spain","ES",10
725,2015,13,"Austria","AT",8
726,2015,14,"Finland","FI",2
727,2015,15,"Sweden","SE",9
728,2015,16,"Cyprus","CY",0
729,2015,17,"Czech Republic","CZ",6
730,2015,18,"Estonia","EE",2
731,2015,19,"Hungary","HU",6
732,2015,20,"Latvia","LV",0
733,2015,21,"Lithuania","LT",0
734,2015,22,"Malta","MT",0
735,2015,23,"Poland","PL",11
736,2015,24,"Slovakia","SK",6
737,2015,25,"Slovenia","SI",2
738,2015,26,"Bulgaria","BG",4
739,2015,27,"Romania","RO",1
740,2015,28,"Croatia","HR",0
741,2015,29,"Iceland","IS",0
742,2015,30,"Liechtenstein","LI",0
743,2015,31,"Norway","NO",0
744,2015,32,"Switzerland","CH",0
745,2015,33,"Turkey","TR",0
746,2015,34,"Commission","EC",178
747,2015,35,"European Free Trade Association","EFTA",0
748,2016,1,"Belgium","BE",0
749,2016,2,"France","FR",3
750,2016,3,"Germany","DE",16
751,2016,4,"Italy","IT",15
752,2016,5,"Luxembourg","LU",0
753,2016,6,"Netherlands","NL",1
754,2016,7,"Denmark","DK",4
755,2016,8,"Ireland","IE",0
